Time,Tran1,Tran2,Tran3,Tran4,Tran5,Tran6,Tran7,Tran8,Tran9,Tran10,Tran11,Tran12,Tran13,Tran14,Tran15,Tran16,Tran17,Tran18,Tran19,Tran20,Tran21,Tran22,Tran23,Tran24,Tran25,Tran26,Tran27,Tran28,Tran29,Tran30,Tran31,Tran32,Tran33,Tran34,Tran35,Tran36,Tran37,Tran38,Tran39,Tran40,Tran41,Tran42,Tran43,Tran44,Tran45,Tran46,Tran47,Tran48,Tran49,Tran50,Tran51
2017-01-05 18:46:16.639,203.85054039010197,207.58711092303744,224.89023505979756,229.6201177394753,238.88149607105967,226.61627973669323,,,,239.94543503121088,,232.4013683024744,225.6886939191523,,217.95878643891768,211.3318598473685,,220.38743507668906,201.26091544995333,,,203.3844407665631,,194.14708529769132,203.04704931501504,,,,,,169.19344319224928,,,,,200.23358601172345,,169.94699707024245,192.18548797509797,175.63020698029777,183.47291913403265,,225.50026932058006,,,,,,179.38640641750357,195.4556887824461,206.56946556633798
2017-01-21 18:46:12.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-28 18:52:19.822,161.92191739684088,164.58357540142882,,,,,,,,,,,,,,,,,,,144.52453547528796,137.24495475320822,140.52439704262608,,156.4319215005601,,,167.0769674205083,159.51687018200454,,139.95085961918505,,139.77391259803517,148.78893926542324,152.06546409800904,147.16041912544708,145.76452986657299,151.88434636441536,158.70888138723686,170.24105933308465,,170.26492159043528,156.94644475922325,155.51364774959595,156.40018652388633,157.9548854143901,158.92906697540508,161.61032479602426,172.25577205582135,183.85219438572284,197.50682598011772
2017-02-06 18:46:04.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13 18:52:12.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22 18:45:58.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01 18:52:06.621,211.73876090050248,199.0774846686874,201.5216853418938,197.3496030546527,196.65293733259898,199.22063835235605,197.72019867162268,194.79375255380083,184.73889160779643,183.59684757844664,188.7889405663282,191.16433378582764,190.72287312554553,194.444258757443,202.31424700411864,204.86710532744783,196.42840203124214,188.79764961716114,186.65886262612725,188.5494894466873,181.5542769465864,178.48678758043548,180.3074538025331,186.39157735309226,184.7398780750492,182.10693873688064,178.93296454159753,176.87785264334693,176.4430558223234,172.63837148581527,167.17648600759736,155.36441206285588,150.75864434196941,158.31234496832644,173.00402089234638,194.45674834174716,189.19083367849302,176.24292165618982,179.3200539061575,201.05446162922195,196.02558055288335,189.3969103357164,183.42156332169208,194.01585133278334,170.7573284760789,174.0298018329721,188.50999507314472,196.6360400086719,193.54668279190406,194.16497810384166,210.27275804167525
2017-03-10 18:45:50.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-17 18:51:57.278,225.4104283991988,215.31848521330767,223.20013738212617,223.35527175796727,229.20435000155445,225.95847249098696,227.7197983226853,223.75451528995208,219.5397264013489,190.2167346269277,195.74735734969008,218.30940909605584,221.3691116239746,210.04547361990961,,192.5329075842833,193.1611826068749,194.8604834345331,,,,,,218.41050161421518,226.54940879419786,210.21052044855034,198.1510126126032,219.1393474447824,204.18743887446138,186.91679962071976,175.0018464494412,163.87364398730512,162.9477614455327,184.9746555032449,223.3936700532555,233.94765488300885,221.6088216907811,195.1837022937811,197.53629271768537,219.8867538603197,221.37555277621948,208.50319929555,197.84888118004523,219.88859175036092,181.1799852896974,179.72416788542733,212.1650377781877,225.2302687609164,208.63399004293422,203.0683385609266,227.9591580722521
2017-03-26 18:45:41.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-02 18:51:49.440,,,,,,,,,,,,,,,,,,,,,,,,,212.77771641538547,207.8223285410707,200.241926291059,209.25249965712408,210.81109301746187,187.91288553465608,,,,,,,,,,215.9172313349024,191.48868862531774,194.80092003349904,201.93199116768787,207.35849802588618,198.10562394826417,193.25670432988719,207.17332463184195,214.70831166613567,211.13578139122092,210.0805896464276,223.3586148011265
2017-04-18 18:51:40.726,,,,,,,,,,,,,,,,,,,,,187.30090931696918,186.1127960786857,,225.3719606940959,244.56559381950572,235.91916938328006,224.37248303223078,253.29429339952065,249.8726366578492,203.25837178599596,203.1638209034727,206.24295401870938,252.12901118944978,276.6268086202993,321.3065750941211,,,,,,,,,,,,,,,,
2017-04-27 18:45:23.348,224.13860109716188,223.96317578540072,227.0189987161271,225.6009049158374,,197.05488430893868,196.4865765957065,198.4411401390219,202.4299592609903,188.7371820203588,194.8836091589667,188.789056838176,184.64783896465266,186.64479589548432,177.75390815741855,164.7928192799117,,,177.07254019187158,,,,166.4632609959377,,,,198.09858392946273,195.47097521046868,190.65441565035508,146.89084893678188,134.01350398976223,135.58306178490656,,180.1145815159055,,,,,,185.0680975781027,179.96204628468456,,150.78308260459585,169.47758284198108,170.23244386779203,,,,,,
2017-05-04 18:51:33.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
