optical_id,Cloud_percent,Time,SAR_id
LC08_L1TP_044034_20170206_20200905_02_T1,96.24835658848951,2017-02-06 18:46:04.107,S1A_IW_GRDH_1SDV_20170206T020718_20170206T020743_015157_018CC4_AE09
LC08_L1TP_044034_20170222_20200905_02_T1,93.58760855940528,2017-02-22 18:45:58.693,S1A_IW_GRDH_1SDV_20170223T141536_20170223T141601_015412_0194BA_01CE
LC08_L1TP_044034_20170529_20200903_02_T1,96.24835658848951,2017-05-29 18:45:39.760,S1A_IW_GRDH_1SDV_20170530T141550_20170530T141615_016812_01BF1B_25FA
LC08_L1TP_044034_20170716_20200903_02_T1,0.2289231001220483,2017-07-16 18:45:54.988,S1A_IW_GRDH_1SDV_20170717T141553_20170717T141618_017512_01D47E_F2B8
LC08_L1TP_044034_20170902_20200903_02_T1,1.412933354067414,2017-09-02 18:46:11.153,S1A_IW_GRDH_1SDV_20170903T141556_20170903T141621_018212_01E9C3_E013
LC08_L1TP_044034_20171020_20200902_02_T1,96.24835658848951,2017-10-20 18:46:22.848,S1A_IW_GRDH_1SDV_20171021T141557_20171021T141622_018912_01FF47_CB3B
LC08_L1TP_044034_20171207_20200902_02_T1,0.0240326844508531,2017-12-07 18:46:13.485,S1A_IW_GRDH_1SDV_20171208T141556_20171208T141621_019612_021508_FE4D
LC08_L1TP_044034_20180124_20200902_02_T1,96.24835658848951,2018-01-24 18:46:02.445,S1A_IW_GRDH_1SDV_20180125T141554_20180125T141619_020312_022B03_81CE
LC08_L1TP_044034_20180430_20200901_02_T1,2.33908704072833,2018-04-30 18:45:15.022,S1A_IW_GRDH_1SDV_20180501T141555_20180501T141620_021712_025748_27C5
LC08_L1TP_044034_20180617_20200831_02_T1,94.45156000395812,2018-06-17 18:44:59.906,S1A_IW_GRDH_1SDV_20180618T141558_20180618T141623_022412_026D52_60AD
LC08_L1TP_044034_20180804_20200831_02_T1,94.2145317631978,2018-08-04 18:45:24.784,S1A_IW_GRDH_1SDV_20180805T141601_20180805T141626_023112_028295_3FA4
LC08_L1TP_044034_20180921_20200830_02_T1,96.05496416302618,2018-09-21 18:45:43.801,S1A_IW_GRDH_1SDV_20180922T141603_20180922T141628_023812_02991B_6B24
LC08_L1TP_044034_20181108_20200830_02_T1,0.7016601401435364,2018-11-08 18:46:00.627,S1A_IW_GRDH_1SDV_20181109T141603_20181109T141628_024512_02B05D_88EC
LC08_L1TP_044034_20181226_20200830_02_T1,81.0957961651374,2018-12-26 18:45:57.384,S1A_IW_GRDH_1SDV_20181227T141602_20181227T141627_025212_02C967_5191
LC08_L1TP_045034_20190102_20200829_02_T1,0.232804831478155,2019-01-02 18:52:07.787,S1A_IW_GRDH_1SDV_20190103T020730_20190103T020755_025307_02CCC3_70DC
LC08_L1TP_044034_20190316_20200829_02_T1,0.0480653689017063,2019-03-16 18:45:40.244,S1A_IW_GRDH_1SDV_20190316T020728_20190316T020753_026357_02F2AB_A861
LC08_L1TP_044034_20190401_20200829_02_T1,96.24835658848951,2019-04-01 18:45:37.132,S1A_IW_GRDH_1SDV_20190402T141600_20190402T141625_026612_02FC20_66F2
LC08_L1TP_044034_20190519_20200828_02_T1,0.1365621951736715,2019-05-19 18:45:41.775,S1A_IW_GRDH_1SDV_20190520T141602_20190520T141627_027312_03148C_FE3C
LC08_L1TP_044034_20190620_20200827_02_T1,63.547224224945765,2019-06-20 18:45:56.100,S1A_IW_GRDH_1SDV_20190620T020732_20190620T020757_027757_03220D_2D09
LC08_L1TP_044034_20190706_20200829_02_T1,89.79798408188053,2019-07-06 18:46:00.138,S1A_IW_GRDH_1SDV_20190707T141605_20190707T141630_028012_0329D9_45A6
