Time,Tran_0,Tran_1,Tran_2,Tran_3,Tran_4,Tran_5,Tran_6,Tran_7,Tran_8,Tran_9,Tran_10,Tran_11,Tran_12,Tran_13,Tran_14,Tran_15,Tran_16,Tran_17,Tran_18,Tran_19,Tran_20,Tran_21,Tran_22,Tran_23,Tran_24,Tran_25,Tran_26,Tran_27,Tran_28,Tran_29,Tran_30,Tran_31,Tran_32,Tran_33,Tran_34,Tran_35,Tran_36,Tran_37,Tran_38,Tran_39,Tran_40,Tran_41,Tran_42,Tran_43,Tran_44,Tran_45,Tran_46,Tran_47,Tran_48,Tran_49
2017-01-05 10:30:39.676,498.5518177900316,501.83772870822537,504.2151017554074,505.516246201348,506.1686791651342,505.0542502063977,505.1374239472648,503.71815215005824,500.5874791415413,500.56553609529647,506.17138661080565,512.998880758396,517.6951880967548,519.9955913686854,479.85301086825854,481.9276342396978,485.3444691566497,488.4094553868588,489.6447408469394,487.13463544193655,482.7329902779311,480.7108419947326,480.14478291901736,477.6250619694401,478.9631946955427,476.92220522231634,477.1324883746236,476.8866092866539,481.3836586620512,485.8169530689079,491.9756057268171,497.6431390408189,501.0898691364572,504.2669903784383,505.22030314247553,507.2476362987976,506.561762713949,508.54556264886935,509.2096418521357,509.4891124679784,511.2634960797338,514.8178655576353,512.7397915874246,510.95190533581336,509.7369210529377,508.9549101466125,506.5453518104727,508.1638597659538,510.5598190429525,512.838191112086
2017-01-12 10:36:48.886,506.2611790422193,508.64536771114587,,,,,,,505.172954940953,507.27359456771023,511.40269593636754,,522.130651126754,525.6123154982176,475.8145144673629,476.4445619367637,,,,,,473.1148658497259,473.68230873098287,,,,,,,,,,,,,511.72175245486505,512.3797963631483,513.3318926564589,515.66618312874,516.8320796568347,518.7718733220269,520.9649053223684,518.27036132136,518.5712994197903,516.4596780882825,515.7748138120631,515.5512890773375,517.7956939755944,513.2065522655116,517.3969415279677
2017-01-28 10:36:42.960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-06 10:30:27.288,,504.7269748651145,505.2968866948559,507.6284709852089,508.9676411955472,508.8563182941811,510.404276557462,510.40824089202425,511.0693656029143,510.8327343899068,519.1793663552613,525.5453548720187,530.1120195675929,535.8310792368011,465.3070018211269,467.3086234715562,467.7867071584076,,,,,,465.4311786887095,466.3113846279055,465.6766528630477,462.3795312615704,461.1280504198936,,,478.46051557820135,485.94863677057646,491.50434795384496,510.0874665755481,513.2490153525209,513.7476998076469,517.617450751211,516.966851962662,,,518.5122131098069,519.4902145205187,524.393079236504,526.38362536014,,,,,,,
2017-02-22 10:30:21.794,499.54902797866686,498.912664366984,499.53528144012046,,,,,,,,,,,,,,,,,,,,474.1908307328679,474.2021726766479,473.4746396028517,475.5052990881541,471.7093960345402,470.0028647653563,477.1564790413694,485.3584042662967,491.7221983025252,496.19186522188335,505.57942834664414,508.0430283499984,509.45163982221015,510.8432947562604,,,,,,,,,,,,,,
2017-03-01 10:36:29.760,,,,,,,,,,,,,,,,,469.42211294986265,472.0353083143826,472.1522158849984,472.0996205871925,471.4354696655646,468.4927659900859,468.64859762051066,468.6377757524303,,,,,,,,,,,,,,,,,,521.233152543642,523.4334757800693,525.5503810140464,525.8144254888197,525.4745093385435,526.1260203374601,527.3906188339807,519.7602647335195,524.0623530771876
2017-03-10 10:30:14.136,500.9930210120866,501.00123821788486,501.2502969384262,503.7616855633018,505.4765871148077,,506.67131572042695,507.5358006156795,507.9935811079382,510.20293882974863,516.2868036428961,521.398738265927,526.5551199839633,,,,,,,,,,,,472.43008135557824,474.3409591711184,468.8813866429322,,,,,495.1095657974943,506.8530907260565,509.23892594983033,510.1463029515921,511.4989444545842,512.2050631598487,513.3683613398762,514.0093959776719,514.8207674853397,514.3676871591606,519.5068512840475,521.2300076373772,522.879630457581,521.1269366872037,522.6457658910923,524.4059135201152,525.8386374847953,516.9749745194747,522.9455719731769
2017-03-17 10:36:20.493,501.3016016663661,503.16982399674185,505.19357000989424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.7657250905528,515.2033896602254,,,516.68716990942,518.6818192644796,520.0662759016783,521.9601202453749,523.6899878072767,525.1885354152107,527.452767787336,522.8586567977688,524.5206061332623
2017-03-26 10:30:04.412,,,,,,,,506.8926052252391,507.67453767640734,510.29323812054633,,,525.6108126423086,530.3332004265391,471.1503384911889,473.6001940052614,474.7192593560311,477.4321233919201,477.429348455742,476.9018793553114,474.7197126178071,472.4163669394329,472.2632508000126,471.3828405858383,470.9931675471702,,,,,,,,,,,,,,516.1544440617375,516.6513310990646,515.9040113928646,517.8635771974858,519.225067609349,520.8967466373496,522.6590018447223,524.711730357315,525.7072184251347,527.9080408054963,521.6041346220007,523.4749581819791
2017-04-02 10:36:12.565,501.08683427445,503.4288439541323,505.1873535811994,507.5129672063086,507.80857030440495,,,,,,,,,,,,474.1404587259048,476.8717904817056,476.8528464511037,476.199763472192,474.0538013335317,,,,,,,,,,,,,,,,514.383131927592,514.8276948604791,516.802102667069,,,,,,,,,,,
2017-04-11 10:29:57.307,,,,,,,,,,,,,,531.4827231309304,469.8048552001924,472.3979876916064,473.9339314544786,476.7374739151359,,,474.2322493735701,471.64796271175146,472.5072024738295,471.76251337559336,471.027039575993,469.70946501808055,,,,,485.54309371043735,491.0499034182131,,,,,,,,,,,520.1611878944545,521.427088892763,522.7625008242549,525.3217221797009,526.4910504298864,527.8361725605542,518.8350257225685,523.0144166739404
