Time,Tran1,Tran2,Tran3,Tran4,Tran5,Tran6,Tran7,Tran8,Tran9,Tran10,Tran11,Tran12,Tran13,Tran14,Tran15,Tran16,Tran17,Tran18,Tran19,Tran20,Tran21,Tran22,Tran23,Tran24,Tran25,Tran26,Tran27,Tran28,Tran29,Tran30,Tran31,Tran32,Tran33,Tran34,Tran35,Tran36,Tran37,Tran38,Tran39,Tran40,Tran41,Tran42,Tran43,Tran44,Tran45,Tran46,Tran47,Tran48,Tran49,Tran50,Tran51,Tran52,Tran53,Tran54,Tran55,Tran56,Tran57,Tran58,Tran59,Tran60,Tran61,Tran62,Tran63
2017-01-16 23:42:16.352,201.49489960875803,198.71530574399884,210.17232129163187,210.21910011512904,217.36376681575237,200.68529908066765,195.34399602350797,195.3508612276938,189.63064296896036,208.7010763889636,194.41694004680707,185.45591923555705,173.70933545388073,173.5590427065151,169.65144780885066,168.85863475121164,175.59560721902028,170.0174580648349,175.80661733202118,180.12346780150764,179.04111632594382,182.85785709927876,185.8748880150645,187.6670261960301,195.77312515143984,205.92710885925888,209.17103098846889,207.08700474247223,211.0731291294209,215.91190917114525,224.05916415669284,230.7774449724627,221.6615714701484,209.88878721866016,203.4949466955359,191.3741383918152,189.5630806300412,186.35894515177625,184.53764082343645,187.55101111280837,191.351281155794,195.2919595200755,204.6493521885461,212.8830828784453,199.2503755254285,192.32032843159044,188.77681977540036,191.63096919333077,189.1151792688912,190.39555092395747,190.3962861027177,186.2379188547143,186.46799682892583,188.07853885587548,201.8373523308142,216.9975305283501,228.61854611422223,217.59298774403413,192.7869555406209,166.22263345285447,154.17290889592078,147.94277163378018,156.62917433664782
2017-02-01 23:42:09.458,210.0803577469377,209.55402498251328,217.2563549610897,227.62627362014572,224.2472790168215,213.99734842656625,204.16579056691887,195.95890235959055,202.24725958633744,204.6118056296283,198.7548414759143,195.71819002552823,189.44920626595604,188.15974855468937,180.8063072612505,,,,,,,,,204.92697388745884,210.5588626931392,220.8779652577445,222.07650646367097,222.4513344791148,226.07739885531112,,,,,,,,196.3661135214585,196.3793275797448,196.89717865285132,198.75593378184504,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17 23:42:02.861,,,,,,,,,,,,,,,,,,,,,,,,211.9477776418708,211.9635073145192,217.03014489340524,216.90859304763745,219.31944459908524,222.77920088804208,,,247.29254490663925,238.74298612995895,223.3770610836486,213.1423995895054,207.9012659889817,201.07885374205352,198.9667604916336,195.23983665078617,200.2566167548352,201.34278991283816,206.01672554712025,216.7904352466572,226.41483640339783,214.8965403684865,196.4270157726888,201.97680878881275,207.1973170534482,209.77525917154043,206.58841634801888,203.86277363964385,201.99915163794455,204.0665168226887,208.92970957663184,230.53845708813697,246.3824454233965,257.6137826000873,233.09495300949408,203.56993041912824,183.0030450484246,167.28935238962237,161.08002584616128,167.57515974120764
2017-03-05 23:41:56.237,,,,,,,209.4475784095316,208.02260417047825,207.74713020679667,216.0030791352289,217.03619817937152,205.4494637043097,193.276066340944,192.2793930068243,187.96613118440013,,,,190.53363280735783,193.5014291551746,191.29297392946887,198.6807858290739,207.5987108922762,209.39983865905907,215.8163635850997,227.47595374762784,229.7787668218295,229.41116210724877,230.83909226657764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.33884854082316,190.9696645798149
2017-04-06 23:41:39.221,194.42684829212868,201.2026180412976,207.39118752595772,216.109996423763,218.4336348199633,204.2249392392107,,,,,,,,,,,,,176.32542068142283,174.76663567320452,175.21054622733655,182.7401384119534,190.56639748753048,191.73852789960364,197.18593323898057,207.42978049512635,,,,,,,,,,194.4838025803413,187.8525465800152,185.81113486132404,184.66450353258236,186.4920120956225,191.6466642633818,194.6751232592377,208.99679439471225,212.84106788878628,199.7616637348385,186.52351443468092,183.9264506306833,190.05903802603635,181.8134544839712,185.246481351277,187.3437919731944,184.71020430509333,184.1183173478389,,,,,,,,,,
2017-04-22 23:41:29.619,213.44411533690044,211.88225873832715,217.87278732088217,223.64387475593577,227.9149480089819,,,,,,214.7521041531475,197.82618605719688,188.15493230221523,186.38752701522608,183.5931844151017,184.4914318448718,,,,,,,,,,,,222.99407244819636,223.65649160262285,228.9519497016515,237.29292363031345,244.11684783660644,233.75451612590632,223.723488310306,210.9575179176408,205.2662364681117,198.1752016771565,197.39768706967035,196.1226093627875,194.7064642818637,200.43181250883796,,216.2333058279682,221.4017615991234,210.5048607024828,199.0070222217717,,,,,,,,,,,,,,188.05585725955933,,175.44681027864203,186.37981845156435
2017-05-08 23:41:28.610,196.4244117051722,202.5557808623058,207.2660000389893,215.305819014978,219.65918169113047,206.42599255815225,201.98166526197588,199.10547895066628,197.78910172061373,214.15586833698129,203.6933895069957,192.00639437928655,182.10329906782485,179.33593861441426,178.05785646993073,176.36427557771538,179.25949965208628,178.1736283299557,180.52140000247525,182.70775941223377,183.6811289814533,188.16102719858628,197.13953290599983,197.57687058386148,204.52940792094617,216.04719543337387,217.90856701489247,216.94344709840337,215.7875964904132,220.6927608201854,227.42670100583612,236.6017006747321,225.9657934624462,213.8422568942236,202.7410054760429,197.45603389279523,192.58029702636173,189.41576677265437,187.90246942071477,187.87594778817171,193.7740977459544,196.8363253843928,209.06903342060497,213.26377223799116,201.24204788856255,193.0155709016733,186.56995342733825,191.15166136668887,183.340769520388,188.94179129180105,190.56844753235416,189.8423866796683,190.6708811757221,200.71009585799945,212.38270571546167,233.90303852069923,236.571444736455,219.81355029214075,191.945997647378,176.04239488419364,156.6627881622626,162.25485514658098,171.3837657214167
2017-05-24 23:41:39.726,,,,,,,,,,,,196.2127756688694,187.71954203294808,186.3574659601095,183.3018325374316,181.92333743201064,,,,,,,,,,,,,,,232.9255363285828,240.1384494602536,230.4442289886204,219.18168814763183,209.36675189360363,204.1941549534284,198.58840307805843,195.07300683638277,194.17499195199895,192.5269380399803,197.6184947559989,203.20719065479503,212.900194456214,218.07485068826773,206.63761025029424,198.6618972323632,191.9927028623595,,,196.0259576904989,196.8263965197468,197.74777333141617,197.6694761364338,206.27771957343737,218.19806804707804,238.49509226106005,246.050408307023,227.65440302969665,199.6034264178236,,,,
2017-06-09 23:41:47.681,,228.1685883273537,229.06433618626625,234.42042598372169,239.3117256335385,227.5412181882828,224.46858269863384,220.53781642880384,222.0042168785371,224.7787634883535,218.41328504171,214.36103387631744,196.00677338877503,202.97540240073604,195.93730182112,190.1426332857888,195.9762013536549,190.55804125837955,192.49637110832697,201.1154640661812,201.9601815450725,206.30864205433005,216.86327939693035,217.83329179001024,220.4796528833628,234.78420598614977,235.569716358459,230.56903253207747,230.7891219195139,235.89054856103644,237.94574294173844,236.06681107415065,224.5054420614105,213.5772578778072,206.2485893819907,200.343428938753,201.07782609859083,204.0458541062937,212.30854385284687,215.5205955066312,223.1318614729264,234.78667448492035,244.6402646081026,242.4932567957486,229.64920982904255,214.5068388416273,207.47034121027087,199.69582541477007,191.49495258212,195.2964759311408,194.8037407576593,196.3027541915939,205.04512687762644,215.19781165949277,233.14191453944105,253.08742917423947,263.97860369670184,240.9537787103233,215.4377748737986,194.81231079251864,188.20887048904905,195.59060934825484,203.5189717068452
2017-06-25 23:41:52.935,205.50469074545745,207.241492934972,206.1057291957754,216.404526098601,,210.8979238098026,214.7556505641256,207.5613391974792,200.1991372295735,208.9120950945239,199.1225248399909,,,,,,,,,,,185.6363875197979,191.9965797429377,195.1936597928691,199.38707064890644,206.7057175213003,208.13127149372724,206.66620165878027,210.34264771923728,211.16456089311225,210.2974088859401,213.600684117888,205.02380887673024,191.3727987580226,182.5711951568753,179.04684411958016,178.5045496528632,182.86693244513427,192.18990790742012,197.05441691851357,203.1505880171183,211.1054316276482,223.8563945187597,222.0722720592796,,,,,,171.8879495405368,174.3542172201016,178.99693145263225,180.6020260065137,194.296184996617,,,,,,,,167.2569467713294,182.71868465055192
