optical_id,SAR_id,Cloud_percent
LC08_L1TP_089079_20170201_20200905_02_T1,S1A_IW_GRDH_1SDV_20170201T191349_20170201T191414_015094_018ACD_5FD6,0.19129318394024278
LC08_L1TP_089079_20170508_20200904_02_T1,S1A_IW_GRDH_1SDV_20170508T191351_20170508T191416_016494_01B55B_EBE7,96.24299719887982
LC08_L1TP_089079_20170625_20200903_02_T1,S1A_IW_GRDH_1SDV_20170625T191354_20170625T191419_017194_01CADD_7693,0.0
LC08_L1TP_089079_20170812_20200903_02_T1,S1A_IW_GRDH_1SDV_20170812T191357_20170812T191422_017894_01E023_49CF,5.438375350140056
LC08_L1TP_089079_20170929_20200903_02_T1,S1A_IW_GRDH_1SDV_20170929T191358_20170929T191423_018594_01F58C_8BE9,12.948412698412698
LC08_L1TP_089079_20171116_20200902_02_T1,S1A_IW_GRDH_1SDV_20171116T191358_20171116T191423_019294_020B0A_E3BD,96.24299719887982
LC08_L1TP_089079_20180103_20200902_02_T1,S1A_IW_GRDH_1SDV_20180103T191356_20180103T191421_019994_0220EE_71B5,10.091036414565828
LC08_L1TP_089079_20180409_20200901_02_T1,S1A_IW_GRDH_1SDV_20180409T191356_20180409T191421_021394_024D55_171C,22.902544351073754
LC08_L1TP_089079_20180527_20200901_02_T1,S1A_IW_GRDH_1SDV_20180527T191358_20180527T191423_022094_02636F_F694,96.24299719887982
LC08_L1TP_089079_20180714_20200831_02_T1,S1A_IW_GRDH_1SDV_20180714T191401_20180714T191426_022794_027898_B9B7,1.7261904761904763
LC08_L1TP_089079_20180831_20200831_02_T1,S1A_IW_GRDH_1SDV_20180831T191404_20180831T191429_023494_028ED3_4FE3,4.806139122315594
LC08_L1TP_089079_20181018_20200830_02_T1,S1A_IW_GRDH_1SDV_20181018T191405_20181018T191430_024194_02A58C_CEA0,4.6003734827264235
LC08_L1TP_089079_20181205_20200830_02_T1,S1A_IW_GRDH_1SDV_20181205T191405_20181205T191430_024894_02BDDF_A1E3,71.92658730158749
LC08_L1TP_089079_20190122_20200829_02_T1,S1A_IW_GRDH_1SDV_20190122T191403_20190122T191428_025594_02D735_0A62,90.4105975723624
LC08_L1TP_089079_20190311_20200829_02_T1,S1A_IW_GRDH_1SDV_20190311T191402_20190311T191427_026294_02F05C_358C,0.9268207282913166
LC08_L1TP_089079_20190428_20200828_02_T1,S1A_IW_GRDH_1SDV_20190428T191403_20190428T191428_026994_0309F9_ED99,31.20739962651731
LC08_L1TP_089079_20190615_20200828_02_T1,S1A_IW_GRDH_1SDV_20190615T191405_20190615T191430_027694_032043_6880,96.24299719887982
LC08_L1TP_089079_20190802_20200827_02_T1,S1A_IW_GRDH_1SDV_20190802T191409_20190802T191434_028394_03356B_3555,0.12278244631185806
LC08_L1TP_089079_20190919_20200826_02_T1,S1A_IW_GRDH_1SDV_20190919T191411_20190919T191436_029094_034D5F_2BEF,5.8661297852474314
LC08_L1TP_089079_20191106_20200825_02_T1,S1A_IW_GRDH_1SDV_20191106T191412_20191106T191437_029794_03659A_8880,0.08928571428571429
LC08_L1TP_089079_20200210_20200823_02_T1,S1A_IW_GRDH_1SDV_20200210T191408_20200210T191433_031194_039640_845F,96.21323529411792
LC08_L1TP_089079_20200329_20200822_02_T1,S1A_IW_GRDH_1SDV_20200329T191408_20200329T191433_031894_03AE88_09C8,1.0943043884220354
LC08_L1TP_089079_20200820_20200905_02_T1,S1A_IW_GRDH_1SDV_20200820T191416_20200820T191441_033994_03F1ED_C3EF,0.0
LC08_L1TP_089079_20201007_20201018_02_T1,S1A_IW_GRDH_1SDV_20201007T191418_20201007T191443_034694_040A8A_161A,96.24299719887982
LC08_L1TP_089079_20210111_20210308_02_T1,S1A_IW_GRDH_1SDV_20210111T191415_20210111T191440_036094_043B14_BDB9,90.22747432306278
LC08_L1TP_089079_20210417_20210424_02_T1,S1A_IW_GRDH_1SDV_20210417T191415_20210417T191440_037494_046BA7_C247,0.0
LC08_L1TP_089079_20210604_20210614_02_T1,S1A_IW_GRDH_1SDV_20210604T191417_20210604T191442_038194_0481F3_0B5B,0.029761904761904764
LC08_L1TP_089079_20210908_20210916_02_T1,S1A_IW_GRDH_1SDV_20210908T191423_20210908T191448_039594_04AE27_C274,24.269841269841297
LC08_L1TP_089079_20211026_20211104_02_T1,S1A_IW_GRDH_1SDV_20211026T191424_20211026T191449_040294_04C64F_8B94,13.683123249299728
LC08_L1TP_089079_20211213_20211222_02_T1,S1A_IW_GRDH_1SDV_20211213T191422_20211213T191447_040994_04DE8B_30DB,1.1011904761904763
LC08_L1TP_089079_20220130_20220204_02_T1,S1A_IW_GRDH_1SDV_20220130T191420_20220130T191445_041694_04F5F9_B306,64.64110644257714
LC08_L1TP_089079_20220319_20220329_02_T1,S1A_IW_GRDH_1SDV_20220319T191420_20220319T191445_042394_050E00_2593,82.80170401493947
LC08_L1TP_089079_20220623_20220705_02_T1,S1A_IW_GRDH_1SDV_20220623T191425_20220623T191450_043794_053A70_917A,0.0
LC08_L1TP_089079_20220810_20220818_02_T1,S1A_IW_GRDH_1SDV_20220810T191428_20220810T191453_044494_054F48_E2DC,16.498249299719873
LC08_L1TP_089079_20220927_20221004_02_T1,S1A_IW_GRDH_1SDV_20220927T191430_20220927T191455_045194_0566D7_B71E,48.37348272642392
LC08_L1TP_089079_20221114_20221122_02_T1,S1A_IW_GRDH_1SDV_20221114T191429_20221114T191454_045894_057DB6_1C71,0.20833333333333334
LC08_L1TP_089080_20180220_20200902_02_T1,S1A_IW_GRDH_1SDV_20180220T191355_20180220T191420_020694_023730_FBBE,96.24299719887982
LC08_L1TP_089080_20201124_20210316_02_T1,S1A_IW_GRDH_1SDV_20201124T191417_20201124T191442_035394_0422CA_1819,96.24299719887982
LC08_L1TP_089080_20210228_20210311_02_T1,S1A_IW_GRDH_1SDV_20210228T191414_20210228T191439_036794_04536B_8F73,96.24299719887982
LC09_L1TP_089079_20220412_20230422_02_T1,S1A_IW_GRDH_1SDV_20220412T191420_20220412T191445_042744_0519CF_0BA7,36.518207282913224
LC09_L1TP_089079_20220717_20230407_02_T1,S1A_IW_GRDH_1SDV_20220717T191426_20220717T191451_044144_0544E4_A0BB,0.029761904761904764
LC09_L1TP_089079_20220903_20230331_02_T1,S1A_IW_GRDH_1SDV_20220903T191429_20220903T191454_044844_055B13_A0DE,64.624649859944
LC09_L1TP_089079_20221208_20230318_02_T1,S1A_IW_GRDH_1SDV_20221208T191429_20221208T191454_046244_058998_C98E,96.24299719887982
LC09_L1TP_089080_20220106_20230502_02_T1,S1A_IW_GRDH_1SDV_20220106T191421_20220106T191446_041344_04EA48_80A7,96.24299719887982
