optical_id,Cloud_percent,Time,SAR_id
LC08_L1TP_198031_20180131_20200902_02_T1,0.0,2018-01-31 10:36:31.831,S1A_IW_GRDH_1SDV_20180201T055257_20180201T055322_020409_022E06_248D
LC08_L1TP_197031_20180225_20200902_02_T1,0.0,2018-02-25 10:30:11.804,S1A_IW_GRDH_1SDV_20180225T055257_20180225T055322_020759_02393B_33DD
LC08_L1TP_198031_20180304_20200902_02_T1,96.32256282794856,2018-03-04 10:36:19.004,S1A_IW_GRDH_1SDV_20180303T174632_20180303T174657_020854_023C45_731B
LC08_L1TP_197031_20180313_20200901_02_T1,96.32256282794856,2018-03-13 10:30:02.755,S1A_IW_GRDH_1SDV_20180314T060106_20180314T060131_021007_02411B_DACF
LC08_L1TP_198031_20180320_20200901_02_T1,96.32256282794856,2018-03-20 10:36:10.492,S1A_IW_GRDH_1SDV_20180321T055257_20180321T055322_021109_02444F_9C23
LC08_L1TP_197031_20180430_20200901_02_T1,25.224216760256528,2018-04-30 10:29:38.202,S1A_IW_GRDH_1SDV_20180501T060108_20180501T060133_021707_02571D_3348
LC08_L1TP_198031_20180507_20200901_02_T1,24.858080947559007,2018-05-07 10:35:44.805,S1A_IW_GRDH_1SDV_20180508T055259_20180508T055324_021809_025A4C_8B6E
LC08_L1TP_197031_20180601_20200831_02_T1,0.0,2018-06-01 10:29:14.960,S1A_IW_GRDH_1SDV_20180601T055301_20180601T055326_022159_02657B_66C1
LC08_L1TP_197031_20180617_20200831_02_T1,1.3831660989904564,2018-06-17 10:29:22.641,S1A_IW_GRDH_1SDV_20180618T060111_20180618T060136_022407_026D28_CCEC
LC08_L1TP_198031_20180624_20200831_02_T1,96.32256282794856,2018-06-24 10:35:37.946,S1A_IW_GRDH_1SDV_20180625T055302_20180625T055327_022509_02701B_A9B3
LC08_L1TP_197031_20180719_20200831_02_T1,0.0,2018-07-19 10:29:39.448,S1A_IW_GRDH_1SDV_20180719T055304_20180719T055329_022859_027A90_7B3F
LC08_L1TP_197031_20180804_20200831_02_T1,0.0,2018-08-04 10:29:47.544,S1A_IW_GRDH_1SDV_20180805T060113_20180805T060138_023107_028269_4F78
LC08_L1TP_198031_20180811_20200831_02_T1,0.0,2018-08-11 10:36:02.388,S1A_IW_GRDH_1SDV_20180812T055305_20180812T055330_023209_0285A9_660F
LC08_L1TP_197031_20180905_20200831_02_T1,73.18690355641506,2018-09-05 10:30:02.353,S1A_IW_GRDH_1SDV_20180905T055306_20180905T055331_023559_0290E2_B666
LC08_L1TP_197031_20180921_20200830_02_T1,0.0,2018-09-21 10:30:06.562,S1A_IW_GRDH_1SDV_20180922T060116_20180922T060141_023807_0298EE_F07D
